Journal,DisciplinesString
journal of world trade,ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki prawne
journal of world systems research,nauki socjologiczne
journal of wound care,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
journal of wound ostomy and continence nursing,nauki o zdrowiu
journal of wrist surgery,inżynieria biomedyczna;nauki medyczne
journal of writing research,językoznawstwo;pedagogika
journal of wuhan university of technology materials science edition,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne
journal of xenobiotics,nauki farmaceutyczne;nauki medyczne;rolnictwo i ogrodnictwo;weterynaria;nauki biologiczne
journal of x ray science and technology,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;astronomia;nauki fizyczne"
journal of young pharmacists,nauki farmaceutyczne
journal of youth and adolescence,nauki o kulturze i religii;nauki o zdrowiu;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne;pedagogika;psychologia
journal of youth development,psychologia
journal of youth studies,nauki o kulturze i religii;nauki o zdrowiu;nauki socjologiczne;pedagogika;psychologia
journal of zhejiang university science a,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki fizyczne"
journal of zhejiang university science b,"inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo"
journal of zoo and wildlife medicine,inżynieria biomedyczna;nauki farmaceutyczne;weterynaria;zootechnika i rybactwo;nauki biologiczne
journal of zoological systematics and evolutionary research,nauki farmaceutyczne;nauki leśne;nauki biologiczne
journal of zoology,nauki leśne;zootechnika i rybactwo;nauki biologiczne
journal on data semantics,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
journal on efficiency and responsibility in education and science,nauki socjologiczne;pedagogika
journal on multimodal user interfaces,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka"
journalism,nauki o komunikacji społecznej i mediach
journalism & mass communication quarterly,nauki o kulturze i religii;nauki o komunikacji społecznej i mediach
journalism practice,nauki o komunikacji społecznej i mediach
journalism studies,nauki o kulturze i religii;nauki o komunikacji społecznej i mediach
journals of gerontology series a biological sciences and medical sciences,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
journals of gerontology series b psychological sciences and social sciences,nauki o kulturze i religii;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne;psychologia;nauki biologiczne
journeys the international journal of travel and travel writing,literaturoznawstwo
jove journal of visualized experiments,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;nauki prawne;nauki biologiczne;nauki o ziemi i środowisku"
jp journal of algebra number theory and applications,matematyka
jp journal of biostatistics,informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości
jpc journal of planar chromatography modern tlc,inżynieria biomedyczna;nauki farmaceutyczne;technologia żywności i żywienia;nauki biologiczne;nauki chemiczne
jrsm cardiovascular disease,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
jsiam letters,informatyka techniczna i telekomunikacja;matematyka
jsls journal of the society of laparoendoscopic surgeons,inżynieria biomedyczna;nauki medyczne
judaica bohemiae,historia;nauki o kulturze i religii
judaica ukrainica,historia;literaturoznawstwo;nauki o kulturze i religii
judgment and decision making,nauki o kulturze i religii;informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki o zarządzaniu i jakości;psychologia
junctures the journal for thematic dialogue,historia;literaturoznawstwo;nauki o kulturze i religii;nauki o komunikacji społecznej i mediach
jundishapur journal of microbiology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki biologiczne
jundishapur journal of natural pharmaceutical products,nauki farmaceutyczne
jung journal culture & psyche,historia;literaturoznawstwo;nauki o kulturze i religii;nauki o zdrowiu;psychologia
juridical tribune tribuna juridica,nauki prawne
juridicas cuc,nauki prawne
jurisprudence an international journal of legal and political thought,nauki o polityce i administracji;nauki prawne;prawo kanoniczne
jurnal fizik malaysia,inżynieria biomedyczna;nauki fizyczne
jurnal gizi dan pangan,nauki farmaceutyczne
jurnal ilmu dan teknologi kelautan tropis,"inżynieria środowiska, górnictwo i energetyka;nauki biologiczne"
jurnal kejuruteraan,"architektura i urbanistyka;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka"
jurnal komunikasi malaysian journal of communication,nauki o kulturze i religii
jurnal pendidikan fisika indonesia indonesian journal of physics education,pedagogika
jurnal teknologi,"architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
jurnal tribologi,inżynieria biomedyczna;inżynieria mechaniczna
justice quarterly,nauki o kulturze i religii;nauki medyczne;nauki prawne;nauki socjologiczne
justice system journal,nauki prawne
juvenile and family court journal,nauki prawne;nauki socjologiczne;prawo kanoniczne
kafkas universitesi veteriner fakultesi dergisi,weterynaria;zootechnika i rybactwo
kagaku kogaku ronbunshu,inżynieria biomedyczna;inżynieria mechaniczna;nauki farmaceutyczne
kahramanmaras sutcu imam university journal of natural sciences,inżynieria mechaniczna;rolnictwo i ogrodnictwo
kairos journal of philosophy & science,filozofia
kajian malaysia,historia;nauki o kulturze i religii
kalagatos revista de filosofia,filozofia
kamchatka revista de analisis cultural,historia;literaturoznawstwo;nauki o kulturze i religii;nauki socjologiczne
kant yearbook,filozofia
kantian review,filozofia
kant studien,filozofia
kaohsiung journal of medical sciences,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
kardiochirurgia i torakochirurgia polska,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
kardiologe,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
kardiologia polska,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;technologia żywności i żywienia
kardiologiya,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
kastamonu university journal of forestry faculty,nauki leśne
keats shelley journal,literaturoznawstwo
keats shelley review,literaturoznawstwo
kedi journal of educational policy,pedagogika
kemija u industriji journal of chemists and chemical engineers,nauki farmaceutyczne
kennedy institute of ethics journal,filozofia;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
kenyon review,literaturoznawstwo
kerntechnik,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki o bezpieczeństwie;nauki fizyczne"
kesmas national public health journal,nauki farmaceutyczne;nauki o zdrowiu
kew bulletin,nauki farmaceutyczne;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
kgk kautschuk gummi kunststoffe,inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne
khazar journal of humanities and social sciences,nauki o zdrowiu;nauki o zarządzaniu i jakości;nauki socjologiczne
kidney & blood pressure research,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki biologiczne
kidney diseases,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
kidney international,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
kidney international reports,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
kidney international supplements,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
kidney research and clinical practice,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
kindheit und entwicklung,nauki medyczne;pedagogika;psychologia
kinematics and physics of celestial bodies,astronomia;nauki fizyczne
kinesiologia slovenica,nauki o kulturze fizycznej;nauki o zdrowiu
kinesiology,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
kinetic and related models,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;matematyka"
kinetics and catalysis,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki chemiczne"
kino the western undergraduate journal of film studies,nauki o kulturze i religii;nauki o sztuce
kiva journal of southwestern anthropology and history,archeologia;historia;nauki o kulturze i religii;nauki socjologiczne
kleintierpraxis,weterynaria
klimik journal,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne
klinik psikiyatri dergisi turkish journal of clinical psychiatry,nauki medyczne;nauki o zdrowiu
klinische monatsblatter fur augenheilkunde,inżynieria biomedyczna;nauki medyczne
klinische neurophysiologie,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
klinische padiatrie,nauki medyczne;nauki o zdrowiu
knee,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
knee surgery sports traumatology arthroscopy,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;weterynaria
knjizevna smotra,literaturoznawstwo;nauki o kulturze i religii
knowledge and information systems,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
knowledge and management of aquatic ecosystems,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;zootechnika i rybactwo;nauki o zarządzaniu i jakości;nauki biologiczne"
knowledge and process management,inżynieria mechaniczna;nauki o zarządzaniu i jakości
knowledge engineering review,architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
knowledge management & e learning an international journal,nauki o zarządzaniu i jakości;nauki socjologiczne;pedagogika
knowledge management research & practice,informatyka techniczna i telekomunikacja;inżynieria mechaniczna;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości
knowledge organization,informatyka techniczna i telekomunikacja;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości
knowledge based systems,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o bezpieczeństwie;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;informatyka"
kobunshi ronbunshu,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne
kodai mathematical journal,matematyka
koedoe,rolnictwo i ogrodnictwo
kolner zeitschrift fur soziologie und sozialpsychologie,nauki prawne;nauki socjologiczne;psychologia
kome an international journal of pure communication inquiry,językoznawstwo;nauki o kulturze i religii;nauki o komunikacji społecznej i mediach
kona powder and particle journal,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne"
konsthistorisk tidskrift,historia;nauki o sztuce;architektura i urbanistyka
konsultativnaya psikhologiya i psikhoterapiya counseling psychology and psychotherapy,psychologia
konuralp tip dergisi,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne
koot revista de museologia,historia;nauki o kulturze i religii;nauki o sztuce
korea journal,historia;nauki o kulturze i religii;nauki socjologiczne
korea observer,historia;nauki o kulturze i religii;nauki o polityce i administracji
korea australia rheology journal,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki chemiczne;nauki fizyczne
korean chemical engineering research,inżynieria biomedyczna;nauki farmaceutyczne
